"ID","fur","Date","Location","Size","decimalLatitude","decimalLongitude","Sex","Season","Region","analysisLab","coordinatePrecision"
"X73.Warre",8.39,"2/9/18","FL","Large",29.7,-82.5,"Female","Winter","NC","CASIF",0.1
"X74.Warre",17.69,"2/9/18","FL","Large",29.7,-82.5,"Female","Winter","NC","CASIF",0.1
"X75.Warre",11.18,"2/9/18","FL","Large",29.7,-82.5,"Female","Winter","NC","CASIF",0.1
"X76.Warre",17.21,"2/9/18","FL","Large",29.7,-82.5,"Female","Winter","NC","CASIF",0.1
"X77.Warre",8.34,"2/9/18","FL","Large",29.7,-82.5,"Female","Winter","NC","CASIF",0.1
"X78.Warre",-6.18,"2/9/18","FL","Large",29.7,-82.5,"Female","Winter","NC","CASIF",0.1
"X79.Warre",-3.88,"2/9/18","FL","Large",29.7,-82.5,"Female","Winter","NC","CASIF",0.1
"X80.Possu",7.04,"2/13/18","FL","Small",29.5,-82.5,"Female","Winter","NC","CASIF",0.1
"X81.HornB",16.06,"2/13/18","FL","Small",29.5,-82.5,"Female","Winter","NC","CASIF",0.1
"X82.DTunn",-14.94,"2/13/18","FL","Small",29.7,-82.5,"Female","Winter","NC","CASIF",0.1
"X83.Dtunn",5.45,"2/13/18","FL","Small",29.7,-82.5,"Female","Winter","NC","CASIF",0.1
"X84.Myrtl",-7.37,"2/14/18","FL","Small",29.7,-82.5,"Female","Winter","NC","CASIF",0.1
"X85.Cherr",-6.44,"2/14/18","FL","Small",29.7,-82.5,"Female","Winter","NC","CASIF",0.1
"X86.SFBat",3.95,"2/14/18","FL","Large",29.7,-82.6,"Female","Winter","NC","CASIF",0.1
"X87.SFBat",5,"2/14/18","FL","Large",29.7,-82.6,"Female","Winter","NC","CASIF",0.1
"X90.Mille",4.46,"2/19/18","FL","Large",30.8,-85.2,"Female","Winter","NW","CASIF",0.1
"X94.Mille",11.13,"2/19/18","FL","Large",30.8,-85.2,"Female","Winter","NW","CASIF",0.1
"X96.Mille",11.37,"2/19/18","FL","Large",30.8,-85.2,"Female","Winter","NW","CASIF",0.1
"X101.OldIn",13.97,"2/19/18","FL","Large",30.8,-85.2,"Male","Winter","NW","CASIF",0.1
"X104.OldIn",1.74,"2/19/18","FL","Large",30.8,-85.2,"Male","Winter","NW","CASIF",0.1
"X107.OldIn",-2.38,"2/19/18","FL","Large",30.8,-85.2,"Male","Winter","NW","CASIF",0.1
"X108.OldIn",8.26,"2/19/18","FL","Large",30.8,-85.2,"Male","Winter","NW","CASIF",0.1
"X109.OldIn",4.07,"2/19/18","FL","Large",30.8,-85.2,"Male","Winter","NW","CASIF",0.1
"X110.OldIn",-15.85,"2/19/18","FL","Large",30.8,-85.2,"Male","Winter","NW","CASIF",0.1
"X111.OldIn",2.62,"2/19/18","FL","Large",30.8,-85.2,"Male","Winter","NW","CASIF",0.1
"X112.OldIn",-1.31,"2/19/18","FL","Large",30.8,-85.2,"Male","Winter","NW","CASIF",0.1
"X114.Milto",0.04,"2/20/18","FL","Large",30.8,-85.3,"Male","Winter","NW","CASIF",0.1
"X131.Debbi",-12.4,"2/21/18","FL","Small",30.8,-85.2,"Male","Winter","NW","CASIF",0.1
"X133.Ellis",-13.78,"2/21/18","FL","Small",30.8,-85.2,"Male","Winter","NW","CASIF",0.1
"X141.Hollo",10.34,"2/21/18","FL","Small",30.8,-85.2,"Male","Winter","NW","CASIF",0.1
"X145.Jeffs",16.8,"2/21/18","FL","Small",30.8,-85.3,"Male","Winter","NW","CASIF",0.1
"X147.Coyot",-1.37,"2/26/18","FL","Small",30.8,-85.2,"Male","Winter","NW","CASIF",0.1
"X148.Power",-11.59,"2/26/18","FL","Small",30.8,-85.2,"Male","Winter","NW","CASIF",0.1
"X150.Snead",-6.42,"3/7/18","FL","Small",30.7,-84.9,"Male","Winter","NW","CASIF",0.1
"X152.Snead",-23.32,"3/7/18","FL","Small",30.7,-84.9,"Male","Winter","NW","CASIF",0.1
"X155.River",-16.47,"3/7/18","FL","Small",30.8,-85.2,"Male","Winter","NW","CASIF",0.1
"X156.River",-10.29,"3/7/18","FL","Small",30.8,-85.2,"Male","Winter","NW","CASIF",0.1
"X166.ALA28",-11.68,NA,"FL","Small",29.7,-82.3,"Male","Winter","NC","CASIF",0.1
"X169.GAD04",5.22,NA,"FL","Small",30.6,-84.8,"Male","Winter","NW","CASIF",0.1
"X170.GAD03",-1.94,NA,"FL","Small",30.6,-84.8,"Male","Winter","NW","CASIF",0.1
"X171.GAD11",-8.75,NA,"FL","Small",30.5,-84.4,"Male","Winter","NW","CASIF",0.1
"X62.BigMo",19.72,"2/6/18","FL","Small",28.7,-82.4,"Male","Winter","NC","CASIF",0.1
"X88.Windy",-3.55,"2/19/18","FL","Small",30.8,-85.3,"Male","Winter","NW","CASIF",0.1
"X89.Mille",-20.28,"2/19/18","FL","Large",30.8,-85.2,"Male","Winter","NW","CASIF",0.1
