ID	time	long	lat	y	Int	elev_e	lat_l^2	lat_abs(l)
10011	1	-80.67467	25.387329999999995	-9.711387474334503	1	2.0	644.5165245288999	25.387329999999995
10012	1	-84.6005	30.54217	-18.006049518864124	1	60.0	932.8241483089	30.54217
10013	1	-80.6444	28.5428	-17.15482411010283	1	2.0	814.6914318399998	28.5428
10014	1	-84.40367000000002	33.17333000000001	-29.612025805640688	1	270.0	1100.4698232889002	33.17333000000001
10015	1	-93.38883	40.95783	-47.07778540658033	1	320.0	1677.5438383088997	40.95783
10018	1	-88.66983000000003	37.43466999999999	-27.760799097065814	1	161.0	1401.3545180089002	37.43466999999999
10019	1	-90.7205	40.933330000000005	-40.279259009031584	1	229.0	1675.5375048888998	40.933330000000005
10020	1	-87.48467000000001	38.73783000000001	-33.31885679900319	1	134.0	1500.6194731089001	38.73783000000001
10021	1	-96.6055	39.101330000000004	-42.363791087936846	1	350.0	1528.9140077689	39.101330000000004
10022	1	-100.90983000000001	38.66967	-57.53961618360738	1	863.0	1495.3433779089003	38.66967
10023	1	-85.0489	37.7047	-43.36597568146598	1	293.0	1421.64440209	37.7047
10024	1	-90.17517	30.806829999999994	-22.58443422702778	1	48.0	949.0607746489003	30.806829999999994
10025	1	-70.02150000000002	41.97217	-42.43440822740185	1	41.0	1761.6630545088994	41.97217
10026	1	-71.2147	42.38389999999999	-53.36442163901761	1	18.0	1796.3949792099995	42.38389999999999
10027	1	-76.15149999999998	38.90783	-36.88297379467727	1	6.0	1513.8192353088998	38.90783
10028	1	-84.67367	45.55650000000001	-77.4139316751767	1	238.0	2075.39469225	45.55650000000001
10030	1	-95.30033000000002	44.235670000000006	-57.54580520334479	1	343.0	1956.7945003489	44.235670000000006
10031	1	-89.79999999999997	34.00150000000001	-29.721374680634337	1	134.0	1156.10200225	34.00150000000001
10035	1	-78.27367000000001	35.02217000000001	-29.92123621980544	1	41.0	1226.5523915089	35.02217000000001
10038	1	-100.74117	41.0555	-65.41790114098211	1	919.0	1685.5540802500002	41.0555
10046	1	-76.65583000000001	42.73367000000001	-63.4536719755204	1	249.0	1826.1665516688993	42.73367000000001
10047	1	-79.39117	42.293	-68.18208007114185	1	488.0	1788.697849	42.293
10048	1	-74.0425	41.350500000000004	-50.33768291892452	1	201.0	1709.8638502499998	41.350500000000004
10049	1	-81.53110000000001	39.7928	-48.91842527194449	1	276.0	1583.46693184	39.7928
10050	1	-98.20033	36.80317000000001	-36.91047272992951	1	345.0	1354.4733220489	36.80317000000001
10051	1	-97.5195	34.97467	-32.565008144147335	1	331.0	1223.2275416089	34.97467
10052	1	-101.61717	36.58783	-42.70105788377078	1	999.0	1338.6693041089	36.58783
10057	1	-80.43433000000002	33.53699999999999	-23.232075650052106	1	24.0	1124.730369	33.53699999999999
10058	1	-101.855	43.94283000000001	-76.43342354926347	1	733.0	1930.9723084088996	43.94283000000001
10059	1	-98.28783	44.353	-59.57697303058424	1	398.0	1967.1886090000005	44.353
10060	1	-84.28567	35.95682999999999	-37.115459118535206	1	341.0	1292.8936236488996	35.95682999999999
10061	1	-97.70416999999999	28.466670000000004	-18.56995551788132	1	82.0	810.3513008889003	28.466670000000004
10062	1	-96.25567	29.65683000000001	-18.05968798189425	1	54.0	879.5275656488999	29.65683000000001
10063	1	-97.63716999999998	33.38833	-27.856641555001374	1	312.0	1114.7805801889006	33.38833
10066	1	-78.54189999999998	38.039699999999996	-46.41858090937501	1	172.0	1447.0187760900005	38.039699999999996
10067	1	-72.86799999999998	44.52366999999999	-74.71780323191794	1	399.0	1982.3571902689002	44.52366999999999
10070	1	-89.65183	46.05167	-71.19804777253682	1	501.0	2120.7563097889	46.05167
10071	1	-88.50032999999998	42.574169999999995	-52.374720013632405	1	288.0	1812.5599511889002	42.574169999999995
10072	1	-80.95000000000002	37.980000000000004	-56.19874852326471	1	753.0	1442.4804000000001	37.980000000000004
7152700	1	-80.27	42.850000000000016	-69.24225287384917	1	240.0	1836.1225000000004	42.850000000000016
7162800	1	-75.66999999999999	45.32	-76.6996589642006	1	114.0	2053.9023999999995	45.32
7172000	1	-74.27999999999999	46.050000000000004	-86.27614755576032	1	395.0	2120.6025000000004	46.050000000000004
7222861	1	-87.54305599999999	33.217222	-21.485481356225637	1	65.0	1103.3838373972837	33.217222
7225600	1	-97.22000000000001	31.62	-20.184350540973853	1	156.0	999.8244	31.62
7230400	1	-75.54999999999998	35.269999999999996	-19.13780017897767	1	3.0	1243.9729000000004	35.269999999999996
7252101	1	-81.79999999999998	40.37	-45.77017927447638	1	344.0	1629.7368999999999	40.37
7253400	1	-87.75	41.779999999999994	-44.23878229510751	1	189.0	1745.5684	41.779999999999994
