ID	time	long	lat	y	Int	elev_e	lat_l^2	lat_abs(l)
10063	1	-97.63717	33.38833	-21.85831033624078	1	312.0	1114.7805801889003	33.38833
10064	1	-111.8915	41.655	-82.90376588923732	1	1370.0	1735.1390250000002	41.655
10065	1	-112.17033	37.61783	-62.60734078035507	1	2477.0	1415.1011339088998	37.61783
10066	1	-78.5419	38.0397	-44.178858142086554	1	172.0	1447.0187760900003	38.0397
10067	1	-72.868	44.52367	-55.313408467293975	1	399.0	1982.3571902689002	44.52367
10068	1	-123.92583	47.856	-60.65507334264245	1	176.0	2290.1967360000003	47.856
10069	1	-117.18417	46.75633	-88.52013621621622	1	766.0	2186.1543950688997	46.75633
10070	1	-89.65183	46.05167	-44.783924334981286	1	501.0	2120.7563097889	46.05167
10071	1	-88.50033	42.57417	-33.643097806678796	1	288.0	1812.5599511889002	42.57417
10072	1	-80.95	37.98	-33.4904031676067	1	753.0	1442.4803999999997	37.98
10073	1	-109.78533	42.924	-89.25185481331869	1	2388.0	1842.469776	42.924
10074	1	-110.41883	44.917	-78.72924811717029	1	1912.0	2017.5368890000002	44.917
10075	1	-106.2408	41.3647	-96.81872077378083	1	3212.0	1711.0384060899999	41.3647
10076	1	-104.1922	43.8733	-62.96584524643579	1	1466.0	1924.8664528900001	43.8733
7108100	1	-81.25	68.786667	-136.1576059110014	1	8.0	4731.605556968888	68.786667
7139800	1	-63.27	45.37	-54.63635934414972	1	40.0	2058.4368999999997	45.37
7152700	1	-80.27	42.85	-46.193527115990825	1	240.0	1836.1225000000002	42.85
7162800	1	-75.67	45.32	-53.973032442074	1	114.0	2053.9024	45.32
7172000	1	-74.28	46.05	-58.32187003169188	1	395.0	2120.6025	46.05
7174800	1	-91.62	48.75	-71.5147525014264	1	393.0	2376.5625	48.75
7179900	1	-123.43	48.65	-72.10413683040458	1	20.0	2366.8224999999998	48.65
7185600	1	-96.98	50.62	-75.83763500321639	1	223.0	2562.3844	50.62
7186500	1	-104.2	51.77	-99.6949927260782	1	561.0	2680.1329000000005	51.77
7186700	1	-101.1	53.97	-102.64462754265212	1	272.0	2912.7608999999998	53.97
7187701	1	-114.016667	51.016667	-124.2096951233665	1	1049.0	2602.700311788889	51.016667
7191300	1	-94.06	58.75	-112.11371737204388	1	5.0	3451.5625	58.75
7192500	1	-105.116667	69.1	-150.29305153799143	1	27.0	4774.8099999999995	69.1
7193401	1	-114.27	62.28	-133.15465064762452	1	205.0	3878.7984	62.28
7196400	1	-135.07	60.72	-150.77892741562647	1	702.0	3686.9184	60.72
7196401	1	-135.52	63.37	-149.57300440772622	1	504.0	4015.7569	63.37
7222861	1	-87.543056	33.217222	-20.494863320608612	1	65.0	1103.383837397284	33.217222
7622500	1	-106.07	28.63	-43.21652962582812	1	1423.0	819.6768999999999	28.63
